Altitude (m),Vertical velocity (m/s)
119.548,-5.588
117.753,-5.603
115.001,-5.606
112.198,-5.603
109.397,-5.604
106.595,-5.6
103.794,-5.606
100.994,-5.593
98.194,-5.607
95.394,-5.597
92.593,-5.604
89.793,-5.599
86.998,-5.58
85.251,-5.596
83.696,-5.597
80.896,-5.602
78.098,-5.593
75.298,-5.604
72.501,-5.586
69.703,-5.605
66.906,-5.582
64.109,-5.608
61.311,-5.585
58.514,-5.603
55.718,-5.581
53.983,-5.582
51.286,-5.602
48.488,-5.59
45.694,-5.587
42.991,-5.595
40.194,-5.592
37.4,-5.583
34.604,-5.6
31.808,-5.586
29.013,-5.593
26.218,-5.586
23.423,-5.595
20.63,-5.577
17.836,-5.6
15.041,-5.58
12.248,-5.591
9.456,-5.579
6.662,-5.596
3.869,-5.576
1.651,-5.581
0,-5.587
