Altitude (m),Vertical velocity (m/s)
135.738,-15.066
135.712,-14.961
135.686,-14.856
135.659,-14.75
135.632,-14.644
135.605,-14.536
135.577,-14.428
135.548,-14.319
135.519,-14.209
135.49,-14.099
135.46,-13.987
135.429,-13.875
135.398,-13.762
135.366,-13.648
135.334,-13.533
135.301,-13.418
135.267,-13.301
135.233,-13.183
135.198,-13.065
135.162,-12.945
135.125,-12.824
135.088,-12.703
135.049,-12.58
135.01,-12.456
134.97,-12.331
134.928,-12.204
134.886,-12.077
134.843,-11.948
134.798,-11.818
134.752,-11.687
134.705,-11.554
134.657,-11.42
134.607,-11.285
134.556,-11.148
134.502,-11.009
134.448,-10.869
134.391,-10.727
134.332,-10.584
134.272,-10.439
134.209,-10.293
134.144,-10.145
134.076,-9.994
134.005,-9.842
133.931,-9.688
133.853,-9.531
133.772,-9.372
133.687,-9.211
133.598,-9.048
133.503,-8.882
133.403,-8.714
133.296,-8.543
133.183,-8.37
133.062,-8.193
132.931,-8.014
132.79,-7.832
132.636,-7.648
132.468,-7.46
132.282,-7.27
132.075,-7.077
131.844,-6.885
131.576,-6.689
131.264,-6.492
130.917,-6.311
130.485,-6.13
129.952,-5.961
129.148,-5.786
127.933,-5.651
125.913,-5.595
123.111,-5.615
120.307,-5.6
117.505,-5.609
114.703,-5.599
111.902,-5.609
109.1,-5.599
106.298,-5.607
103.498,-5.595
100.698,-5.605
97.897,-5.597
95.096,-5.607
92.296,-5.596
89.498,-5.597
86.697,-5.604
83.897,-5.597
81.098,-5.602
78.298,-5.596
75.5,-5.599
72.702,-5.591
69.903,-5.602
67.104,-5.594
64.306,-5.6
61.508,-5.592
58.71,-5.6
55.912,-5.593
53.114,-5.596
50.317,-5.595
47.522,-5.585
44.725,-5.602
41.928,-5.588
39.133,-5.592
36.337,-5.592
33.541,-5.593
30.746,-5.586
28.267,-5.587
25.68,-5.592
22.885,-5.588
20.09,-5.593
17.295,-5.588
14.5,-5.589
11.707,-5.586
8.913,-5.59
6.119,-5.584
3.325,-5.589
0.532,-5.585
0,-5.585
